id,City,Country,Created At,Hashtags,tweet,label
45,,,8/30/19 9:06,#صحيفة_مال ,ول ستريت جورنال طرح ارامكو اولا تداول وطرح دولي لاحق صحيفه مال السعوديه,1
46,,,10/7/19 21:04,#تاسي ,الاجانب يرفعون ملكيتهم شركه الدريس تصدر امانه صداره المبيعات تاسي سوق الاسهم,0
47,,,9/23/19 14:14,#تاسي ,الاجانب يرفعون ملكيتهم شركه الرياض ريت يتصدر اكسترا صداره المبيعات تاسي سوق,0
48,,,9/8/19 21:01,#تاسي ,الاجانب يرفعون ملكيتهم شركه اسمنت العربيه تصدر ملاذ صداره المبيعات تاسي سوق ال,0
49,,,9/23/19 14:14,#تداول ,تعليق تداول سهم ثمار ابتداء الاحد الاعلان القوايم الماليه تاسي صحيفه مال الاقتصاد,0
50,,,8/19/19 10:33,#تاسي ,صفقه سوق الاسهم تاسي اسهم صفقات خاصه الراجحي السعوديه صحيفه مال,1
51,,,9/23/19 14:14,#تاسي ,نافع ناصر السريع يختفي قايمه كبار ملاك السريع تاسي اسهم كبار الملاك السعوديه صحيفه مال,0
52,,,10/6/19 18:26,#تداول ,ارباح سهم المتطوره بيع هدف وباتظار تحقيق باقى الاهداف شراء بيع هدف اسهم النسبه خاص تداول السوق السعودي تداول تاسي تداول,1
53,,,10/2/19 21:24,#تداول ,ارباح ارباح وتوالى الارباح سهم الاسماك شراء بيع مبروك الى لحق يدخل بالسهم وانتظروا الاسهم الخاص تداول السوق السعودي تداول تاسي تداول,1
54,,,9/24/19 15:21,#السوق_السعودي_تداول ,مبروك الى فازوا بربح سهم الدريس شراء الاحد بيع مبروك الى ربحوا السهم شاء الله ومزيد الارباح السوق السعودي تداول تاسى,1
55,,,9/24/19 15:29,#تداول_السعودية ,مبروك لسهم التانى ربح سهم اسمنت تبوك شراء الاحد بيع مبروك الربح الكبير جلستين وانتظروا المزيد الارباح لتوصيات الذهبيه الخاص تداول السعوديه تاسي تداول السوق السعودي تداول,1
56,,,9/29/19 18:39,#تداول ,مبروك لفايزين توصياتنا سهم الباحه شراء بيع الجلسه مبروك الارباح ومزيد الاسهم الخاص تداول السوق السعودي تاسي تداول,1
57,,,10/4/19 21:09,#تاسي_تداول ,نزول السوق واسهمنا دايما صعود سهم باتك صعود شراء بيع الله يرزق ملاكه الخير وانتظروا اسهم ارباح الاحد باذن الله تابعونا الخاص تاسي تداول السوق السعودي تداول,1
58,,,10/7/19 21:02,#توصيات ,نزول موشر السوق واسهمنا دايما صعود مستمر سهم الخدمات الارضيه مبروك الرابحين السهم ومزيد اسهم النسبه خاص السوق السعودي تداول,1
59,,,10/9/19 15:18,#تداول ,وتوالى الارباح نزول السوق وهى اقتناص الاهداف الذهبيه سهم اليانز لتامين شراء بيع هدف وانتظروا المزيد اسهم النسبه خاص تداول تاسي تداول السوق السعودي تداول,1
60,Riyadh,Kingdom of Saudi Arabia,22/09/2019 21:46,#ايناس_الحنطي_تمثلني ,فيديو تداول ايناس الحنطي ايناس الحنطي تمثلني,1
61,Qassim,Kingdom of Saudi Arabia,10/13/19 10:15,#تاسي ,السوق مرتفع تاسي,1
62,,,28/09/2019 23:45,#العملات ,افتح حسابك بالشركه السويسريه واستفيد بعرض البونص الايداع سهوله السحب والايداع بنوك محليه داخل السعوديه والكويت يوميه يوميه باعلي نسبه نجاح العملات النفط الذهب الاسهم الفوركس البتكوين اليورصه,1
63,Al Khobar,Kingdom of Saudi Arabia,10/4/19 16:51,,الاسايمنت عباره بيع شراء زي نظام سوق الاسهم,1
64,,,10/7/19 12:12,#عربي_وادعم_الشعب_العراقي ,مغردون عرب يتداولون هاشتاق عربي وادعم الشعب العراقي,1
65,,,10/13/19 14:12,#تاريخ_الفخم ,تاريخ الفخم الخيمياي تاسي تداول محل كاين خلاف فني اقوله ارحب لنقاش ماشالتك الارض شلناك روسنا وين تبي نبداء شارت ترغب ابشر بي مرجع مدرسه فنيه,0
66,,,12/10/19 11:34,#تاسي_الفخم ,تاسي الفخم الاسواق العالميه منتشيه الامس عطونا ارايكم وتوقعاتكم ليوم الغد بالنسبه التوقع ولو حصل طيب التوقعات رصد وجس نبض لمتداولين ولاتعني تحليل فني توجيه بشيء,0
67,,,10/13/19 12:41,#تاسي_الفخم ,تاسي الفخم تاسي الفخم اضافه طرحه وشرحه بالتحليل نموذجين تاريخيه لسوق وسبق ذكرهم تصحيح نموذج بيعي بالاحمر انتهى وهناك نموذج تجميعي اكبر ويفترض ينتهي حدث اتجاه عاكس فني نتثبت ونشعركم شاء الله محبتي,0
68,,,10/13/19 17:18,#تاسي_تداول ,تاسي تداول تدرون وش اجمل الاسواق الماليه دايما مغريه اوجاعها تدرون ليه السب ذاكره المتداول لاسواق ضعيفه والكل زعلان وقيل ماقيل وقتها صعدنا تدبيله لغايه وكل المستفيدين هالعطاء بجمعهم يلعبون كوره ماكملنا فريقين,0
69,,,12/10/19 14:40,#المؤشر ,تبقى الموشر لحظي ايجابي اعلى واهم واصل الارتداد,1
70,,,10/13/19 14:54,#اشكرك_مقدماً ,اشكرك مقدما ماتقوم لاخوانك سوال كمتداول اكون محل اختلاف بوجهات النظر الفنيه ولكن,1
71,,,12/10/19 10:27,#الراجحي_بنك ,الراجحي بنك تاسي الفخم اخر تحديث باذن الله اغلق القاب والباقي شمال بعون الله والوقف بكسر واغلاق,0
72,,,12/10/19 10:27,#الراجحي_بنك ,الراجحي بنك تاسي الفخم تحديث سبق ذكره نلاحظ اقتراب الراجحي تحقيق السيناريو المرصود ونقول شاء الله بدايه خير,1
73,,,10/13/19 12:43,#تاسي_الفخم ,تاسي الفخم تاسي الفخم اضافه طرحه وشرحه بالتحليل نموذجين تاريخيه لسوق وسبق ذكرهم تصحيح نموذج بيع,0
74,,,10/13/19 19:33,#تصبحون_على_ماتحبون ,عشت وتداولت باسواق المال تبيع بقمه ولن تشتري بقاع وتلك بالموجات الريسيه نقطه طمع هلع المضارب والمستثمر واللهامور صانع السوق والصناديق الفرق الجميع يملك الرويه واللهدف والانضباط ينتصر تصبحون ماتحبون,0
75,,,10/13/19 16:25,#عاجل ,عاجل اداره النادي الاهلي ترفض التعليق الانباء المتداوله مغادره السويسري جروس التوقيع والمصادر توكد وجود خلاف بنود العقد الجانب المالي,0
76,,,12/10/19 13:00,#اليوم_السابع_UFM ,حلقه جديده برنامج السابع نتداول ابرز قضايا واحداث الاسبوع السعوديه تقديم عبدالرحمن البشري السمع,1
77,,,10/13/19 10:24,#الاسهم_السعودية ,الاسهم السعوديه فرصه لشراء ام البيع الارتفاعات تابع بيتواصل انجح الخبراء لمعرفه كافه تفاصيل وكيفيه اداره المحافظ بامان المضارب الحين تاسى تداول اسهم سعوديه,1
78,,,10/7/19 7:50,#توصيات_رابحه ,رابحه المضارب نتايجنا خير دليل مصداقيتنا الى يبي يستفيد عروضتنا وتوصياتنا انجح المحلين والخبراء لفتره تجربه يتواصل معى الخاص غبر تاسي اسهم سعوديه اسهم ارامكو تاسي الفخم,0
79,,,10/13/19 13:01,#المضاربه_الرابحه ,المضاربه الرابحه طرق كثيره لوصول افضل الطرق لاختيار افضل نقاط شراء وبيع الاسهم جرب بالبدايه الحين تداول تاسي تداول,1
80,,,10/8/19 12:01,#ارامكو ,اللهدف الريسي التخفيض واللهجمات ارامكو الضغط السعوديه لطرح حصه اضافيه شركه ارامكو التخفيضات الايتمانيه لملكه وشركه ارامكو اكبر شركه نفط العالم ومورد الدخل الريسي لسعوديه تداول,1
81,,,8/10/19 9:09,#السلطات_السعودية ,اجلت السعوديه الطرح الاولي ارامكو وكشفت ول ستريت جورنال الامريكيه الشهر السعوديه تدرس مضاعفه الحصه المعروضه لبيع طرح اكتتاب ارامكو تضر بنيتها التحتيه النفطيه جر اء اللهجوم المنشاتين يتابع,1
82,,,10/8/19 9:08,#وزارة_المالية_السعودية ,اعربت وزاره الماليه السعوديه تحفظها الوكالله واعتبرته مستعجلا يتابع التسجيل الرابحه الفتره التجريبيه تاسي السوق السعودي تداول ريتويت,0
83,,,10/7/19 14:35,#المتطورة ,تصدر سهم المتطوره تراجعات واغلق سهم الابحاث والتسويق اصدقاء متداولين يمديك تسجلهم ليستفيدو الفتره التجريبيه لتوصيات اسهم السعوديه,1
84,,,10/9/19 7:55,#توصيات ,سارع بالتسجيل ال واحده يربحك الكثير ظروف السوق السيه لفتره تجريبيه اسهم سعوديه السوق السعودي,1
85,,,7/10/19 6:31,#تداول ,الخير اسعد الله اوقاتكم تداول موفق الفتره التجريبيه بالخاص تاسي السوق السعودي,1
86,,,10/13/19 6:41,#تداول ,الخير اسعد الله اوقاتكم تداول موفق الفتره التجريبيه بالخاص تاسي السوق السعودي تاسى الفخم,1
87,,,10/10/19 8:55,#التوصيات ,فتره السوق السعودي تداول تاسي بتحصل الفتره التسجيل اسهم السعوديه,0
88,,,10/10/19 13:26,#اسهم_السعودية ,وداعا لخساره واهلا بالارباح خسارتك معانا لربح باذن الله وسجل الحين معانا لفتره تجريبيه اسهم السعوديه تاسي تداول تاسي تداول اسهم,1
89,Makkah Al Mukarrama,Kingdom of Saudi Arabia,10/7/19 13:44,,المرسوم الملكي المتضمن تعديلات خاصه بنظام السوق الماليه,1
90,Jeddah,Kingdom of Saudi Arabia,10/5/19 22:03,,رسالتي لابو الوليد الامر حافظ النجوم وابناء النادي الصعب تجد لاعب بنصف الصليهم السوق السعودي,0
91,,,10/13/19 9:59,#تداول ,تداول الراجحي اسوا المنصات يجب الجميع تحويل روس امواللهم لمحافظ بنوك لضمان حسن الجوده المقدمه تاسي تاسي تداول,0
92,,,10/13/19 9:57,#تاسي ,صانع السوق يتفن السوق مستفز ولشيء تاسي تداول الاسهم السعوديه,0
93,,,10/12/19 0:05,#اكتتاب_ارامكو ,اكتتاب ارامكو مكتبين مكتبين الله يعوق بشر تاسي بالتوفيق,1
94,,,10/12/19 0:02,#تاسي ,تاسي تحول متداول مستثمر بغمضه لمجرد خسران توقف خساره اكتتاب ارامكو,0
95,,,10/12/19 0:14,#صانع_السوق ,صانع السوق يتصيد الصغار تاسي الاسواق اكتتاب ارامكو,0
96,,,10/8/19 22:08,#من_خبرة ,خبره السوق قي القمه حساس لاي خبر سلبي فيبالغ بالنزول بالمقابل يحتاج اخبار قويه ليستمر بالصعود القاع حساس لاخبار الايجابيه ولديه استعداد لمبالغه الارتداد بالمقابل يحتاج لاخبار سلبيه لاستمرار بالنزول الاسواق تاسي,0
97,,,10/11/19 23:10,#السياسة ,اعتقد المتداول بحاجه ملم بالاتي السياسه الاقتصاد التحليل الفني بسيكولوجيه التداول تحليل مالي,0
98,,,10/9/19 3:11,#السوق_السعودي ,العناصر المساعده لفقاعه السوق السعودي وجود عمق كافي لسوق التوسع تعميق السوق مشكله حقيقيه لمتداول خصوصا غياب صانع السوق المشكله اكبر ادراج ارامكو تاسي ستحتاج سيوله لتحرك السهم,0
99,,,10/12/19 0:24,#اكتتاب_ارامكو ,اهم التواريخ اكتتاب ارامكو نو مبر بدايه الاكتتاب نهايه نو مبر بدايه تداول سهم ارامكو السوق,1
100,,,10/13/19 12:52,#تاسي ,يطلق شركات الزومبي ارى يتم اخراج جمعيات الشركات تاسي ضمنها خفضت ورفعت راس المال لمصلحه السوق ونحتاج موشر يتم اخراج الشركات الضعيفه والمتقاربه القيمه السوقيه موشر خاص وليكن زومبي تاسي,0
101,,,10/13/19 13:06,#تاسي ,وضع المستثمر الشركات تخفض وترفع راس المال تاسي تدل دربها خلوها,0
102,,,8/16/19 20:18,#النفط ,السلام اسواق النفط تقف مناطق دعوم قويه برنت الارتداد مهم والاخبار العالميه تاثير بالذات امريكا والصين وكلاهما يرغب هبوط الاسعار التذبذب وارد وارتفاع الطلب المفاجي يقفز بالاسعار كسر سلبي انزلاق التماسك الاهداف بالشارت,0
103,,,10/13/19 12:57,#جدة ,متداول المنتزهات الشهيره جده خاليه الزباين فرض ضريبه مطاعم التبغ,0
104,,,1/10/19 10:55,#السعودية_للسعوديين ,السعوديه لسعودين اكتتاب ارامكو جاني اتصال الرد يخبرني عمل تخفيضات لاسهم ارامكو لنصف السعر والعرض خاص بالموظفين الحكومين الخبر صحيح احتيال ونصب,1
105,,,10/12/19 16:25,#الغذاء_والدواء ,الغذاء والدواء صحه تداوله اغلاق مصانع الادويه الملكه,0
106,,,10/13/19 15:18,#المواصفات_والمقاييس ,المواصفات والمقايس تحذ كلور متداول بالسوق ويستخدم كمبي لملابس الملكه,0
107,,,10/9/19 20:10,#الرياض ,تداول فيديو العثور جمعيه خيريه متخصه رعايه الايتام تعلن تسلمها رسميه التنميه الاجتماعيه طفله رضيعه وجدها مواطن منزله الرياض,0
108,,,10/10/19 6:46,#أرامكو ,تداول نموذج اكتتاب لافراد ارامكو تنفي وتوكد نرد الشايعات عكاظ اكتتاب ارامكو,1
109,,,10/1/19 7:30,#تداول ,تحرك تداول بمدى واختم الشهر مرتفعا يبدا السوق ترقب نتايج لشركات حق السوق الربع الثالث,1
110,,,9/30/19 20:14,#تداول ,تحرك تداول بمدى واختم الشهر مرتفعا يبدا السوق ترقب نتايج لشركات حق السوق الربع الثالث ارباح حق السوق الربع ارباح الصعب تحقيق نمو الماثل مهم نشهد تحسن,1
111,,,10/10/19 18:38,#لقاءات_ثمين ,لقاءات ثمين لحضور القاء مقر هيه السوق الماليه الاربعاء المقاعد محدوده,0
112,,,18/09/2019 10:08,#ثمين ,تعرف انواع الرخص الصادره هيه السوق الماليه وخصايص نوع ثمين,0
113,,,9/12/19 7:03,#الخضري ,اعلان الحاقي شركه الخضري بخصوص سحب ملف زياده راس المال هيه السوق الماليه,0
114,,,29/08/2019 6:05,#تداول ,خسران تداول نحنا بنعوض الخساره الاشتراك شركه المضارب بتحصل الرابحه التسجيل تاسي الاسهم السعوديه,1
115,,,27/08/2019 20:09,#تاسي ,وسيتم اضافاتك تلقايا قروب معلومه تاسي,0
116,,,10/9/19 14:35,#اسمنت_القصيم ,اسمنت القصيم التسجيل الرابحه الفتره التجريبيه لتوصيات وماراح تخسر شى التجربه تاسي السوق السعودي تداول عقار اسمنت الشماليه درايه ريت,0
117,,,10/10/19 14:46,#السوق_السعودى ,السوق السعودى التسجيل الرابحه الفتره التجريبيه لتوصيات وماراح تخسر شى التجربه تاسي السوق السعودي تداول اسمنت الشماليه اسمنت القصيم باتك ساب الراجحى دار الاركان,0
118,,,10/13/19 10:06,#المؤشر_العام ,افتح الموشر العام ارتفاع نقطه وبدءت تظهرالقوه البيعيه هبط نقطه نتوقع يرتد السوق الارتفاع بدافع الاسهم القياديه مازالنا نري قرب المناطق الحاليه ضعف لقوه البيعيه تاسى تداول السوق السعودى,1
119,,,8/10/19 11:35,#التوصيات_الرابحة ,التسجيل الرابحه الفتره التجريبيه لتوصيات انضم لقروب التلقرام الخاص بالمتداولين بسوق الاسهم السعودى ماراح تخسر شى التجربه تاسي السوق السعودي تداول,0
120,,,10/13/19 8:52,#البحري ,السوق السعودي سهم البحري يسجل اعلى سعر اسبوعا تبي رابحه لتعويض خسايرك ارسلى ورقم جوالك بالخاص لفتره تجريبيه تاسي اسهم سعوديه تداول,1
121,,,10/13/19 8:50,#لوجستيات_السعودية ,النقل الدكتور نبيل محمد العامودي اطلاق مبادره لوجستيات السعوديه تعتبر مظله لمجموعه المناطق والمنصات الوجستيه الملكه اكبرها منطقه الخمره الوجستيه محافظه جده تاسى تداول,0
122,,,9/10/19 7:16,#السعودي_الفرنسي_كابيتال ,شركه السعودي الفرنسي كابيتال توزيع ارباح نقديه مالكي وحدات صندوق تعليم ريت يعادل لوحده الربع الثالث الفتره تداول تاسى,1
123,,,10/13/19 12:47,#مؤشر_السوق_السعودي ,انهى موشر السوق السعودي جلسه الاحد تراجع مغلق ا مواصل ا هبوطه لخامس جلسه التوالي مسجل ا ادنى اغلاق وسط تداولات قليله مقارنه بالجلسات الماضيه بلغت قيمتها تاسى تداول,0
124,,,10/9/19 14:15,#السوق_السعودي ,انهى موشر السوق السعودي جلسه الاربعاء تراجع وسط تداولات بلغت قيمتها الاجماليه الفتره التجريبيه لتوصيات وماراح تخسر شى التجربه تاسي,0
125,,,10/13/19 14:18,#تاسى ,رابحه الى يبي يستفيد عروضتنا وتوصياتنا انجح المحلين والخبراء لفتره تجربه يتواصل معى الخاص يسجل تاسى تداول وماراح تخسر شى التجربه,1
126,,,10/9/19 14:13,#ثمار ,سجلت الشركه الوطنيه لتسويق الزراعي ثمار خساير قدرها بنهايه النصف مقارنه بارباح تحقيقها الفتره الفتره التجريبيه لتوصيات تاسى تداول,0
127,,,9/10/19 14:09,#بالسوق_السعودي ,شهدت فتره المزاد بالسوق السعودي الاربعاء استمرت دقايق وفتره التداول سعر الاغلاق استمرت دقايق تداولات بلغت سهم وبقيمه اجماليه بلغت ملاين تمت صفقه تاسى,0
128,,,10/10/19 8:37,#توصيات ,الخير تداول موفق تبي رابحه لتعويض خسايرك ارسلى ورقم جوالك بالخاص لفتره تجريبيه تاسي اسهم سعوديه تداول,1
129,,,10/10/19 8:14,#تاسى ,قالت الشركه تداول اصدار الاف صك بقيمه اسميه تبلغ وبعايد سنوي يبلغ سيتم الاسترداد الكامل لصكوك الاستحقاق الفتره التجريبيه لتوصيات تاسى,0
130,,,10/10/19 9:29,#توصيات ,هبط الموشر العام لسوق المال السعودى نتوقع المناطق نقطه مستويات تذعف القوه البيعيه ويبدء الموشر تكوين قاع ريسى لاستكمال الاداء الصاعد المدى الطويل تبي رابحه لتعويض خسايرك تاسي تداول,0
131,,,10/13/19 12:59,#هرفي_للأغذية ,واغلق سهم هرفي لاغذيه عقب احقيه ارباح نقديه بواقع لسهم النصف التسجيل الرابحه الفتره التجريبيه لتوصيات تاسي السوق السعودي تداول,0
132,,,10/13/19 12:56,#الأهلي_التجاري ,وانهت اسهم الاهلي التجاري السعودي الفرنسي بنك الرياض ساب الاتصالات السعوديه تداولاتها تراجع بنسب تراوح الفتره التجريبيه لتوصيات تاسى تداول,0
133,,,10/13/19 7:34,#تداول ,واوضحت تداول جاء الشركه قوايمها الماليه الاوليه لفتره المنتهيه واستنادا صلاحيات السوق المنصوص قواعد الادراج الموافق بقرار مجلس هيه السوق الماليه تاسى ثمار تداول,1
